URL,Perfume,Brand,Gender,Rating Value,Rating Count,Weighted Rating,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,scent_profile,cluster,cluster_name
https://www.fragrantica.com/perfume/dilis-parfum/cherry-lips-73398.html,cherry-lips,dilis-parfum,women,3.66,70,3.6582569012157045,"cherry, bitter almond, rose","pistachio, cherry blossom, heliotrope","vanilla, musk, sandalwood, tonka bean, cedar",cherry,sweet,nutty,vanilla,almond,"cherry, bitter almond, rose pistachio, cherry blossom, heliotrope vanilla, musk, sandalwood, tonka bean, cedar cherry sweet nutty vanilla almond",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/david-beckham/instinct-ice-8107.html,instinct-ice,david-beckham,men,3.66,35,3.6581024494246903,"bergamot, pepper, nutmeg","geranium, birch, rosemary","elemi resin, sandalwood, tonka bean",fresh spicy,aromatic,citrus,woody,warm spicy,"bergamot, pepper, nutmeg geranium, birch, rosemary elemi resin, sandalwood, tonka bean fresh spicy aromatic citrus woody warm spicy",1,Warm Spicy Woody
https://www.fragrantica.com/perfume/christina-aguilera/woman-26129.html,woman,christina-aguilera,women,3.66,338,3.6589261712360353,"pear, litchi, pink pepper, bergamot","honey, magnolia, violet leaf, rose","amber, tonka bean, sandalwood",sweet,floral,fruity,honey,aquatic,"pear, litchi, pink pepper, bergamot honey, magnolia, violet leaf, rose amber, tonka bean, sandalwood sweet floral fruity honey aquatic",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/carner-barcelona/ibiza-nights-59781.html,ibiza-nights,carner-barcelona,unisex,3.66,328,3.6589105632598153,"italian mandarin, pear, star anise","magnolia, jasmine sambac, ylang-ylang","vanilla, benzoin, patchouli",floral,citrus,sweet,fruity,white floral,"italian mandarin, pear, star anise magnolia, jasmine sambac, ylang-ylang vanilla, benzoin, patchouli floral citrus sweet fruity white floral",0,Floral Yellow White Flowers
https://www.fragrantica.com/perfume/borsalino/borsalino-pour-elle-4759.html,borsalino-pour-elle,borsalino,women,3.66,73,3.658268978112593,"cedar, bergamot, carrot seeds","iris, jasmine, lotus","musk, amber, ambrette (musk mallow)",powdery,musky,floral,woody,iris,"cedar, bergamot, carrot seeds iris, jasmine, lotus musk, amber, ambrette (musk mallow) powdery musky floral woody iris",3,Powdery Iris Musky
https://www.fragrantica.com/perfume/bohoboco/jasmine-white-leather-77857.html,jasmine-white-leather,bohoboco,unisex,3.66,90,3.658334372272784,"clove, lemon, bergamot","lavender, jasmine, white flowers, violet, rose","white leather, musk, ambergris, patchouli, tonka bean, cedar, vanilla",white floral,warm spicy,powdery,amber,lavender,"clove, lemon, bergamot lavender, jasmine, white flowers, violet, rose white leather, musk, ambergris, patchouli, tonka bean, cedar, vanilla white floral warm spicy powdery amber lavender",9,Fresh Lavender Aromatic
https://www.fragrantica.com/perfume/blumarine/kiss-me-on-the-lips-61392.html,kiss-me-on-the-lips,blumarine,women,3.66,59,3.6582111396724413,"bergamot, black currant, pink pepper, orange","caramel, orris, jasmine, peony","vanilla, powdery notes, patchouli, musk",powdery,caramel,citrus,vanilla,sweet,"bergamot, black currant, pink pepper, orange caramel, orris, jasmine, peony vanilla, powdery notes, patchouli, musk powdery caramel citrus vanilla sweet",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/biotherm/biotherm-homme-force-8569.html,biotherm-homme-force,biotherm,men,3.66,106,3.658391561207624,"grapefruit, lime, mandarin orange","cardamom, neroli, wormwood","virginia cedar, vetyver, amber, patchouli",citrus,aromatic,woody,warm spicy,fresh spicy,"grapefruit, lime, mandarin orange cardamom, neroli, wormwood virginia cedar, vetyver, amber, patchouli citrus aromatic woody warm spicy fresh spicy",1,Warm Spicy Woody
https://www.fragrantica.com/perfume/betty-barclay/precious-moments-23675.html,precious-moments,betty-barclay,women,3.66,181,3.6586145425559202,"black currant, raspberry, green leaves","peony, freesia","caramel, vanilla, woody notes, musk",fruity,floral,sweet,caramel,vanilla,"black currant, raspberry, green leaves peony, freesia caramel, vanilla, woody notes, musk fruity floral sweet caramel vanilla",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/au-pays-de-la-fleur-d-oranger/neroli-oud-30579.html,neroli-oud,au-pays-de-la-fleur-d-oranger,women,3.66,29,3.6580731812924236,"orange blossom, bergamot","agarwood (oud), jasmine, fruity notes, rose",agarwood (oud),white floral,citrus,oud,sweet,fruity,"orange blossom, bergamot agarwood (oud), jasmine, fruity notes, rose agarwood (oud) white floral citrus oud sweet fruity",2,Oud Leather Oriental
